,Date,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow,New,Total
0,17March,0,0,0,14,0,43,1,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,69,292
1,18March,0,0,7,4,0,53,1,1,3,7,0,0,1,0,2,0,5,0,0,0,0,0,0,5,0,2,74,366
2,19March,0,0,0,22,0,95,7,1,9,4,0,0,0,0,1,0,-1,0,7,0,0,0,1,2,0,2,191,557
3,20March,0,0,0,13,0,82,4,1,2,0,6,0,0,0,2,0,1,0,2,0,0,8,1,2,0,5,126,683
4,21March,0,0,2,3,8,69,8,3,3,4,0,0,3,0,2,6,2,0,1,0,8,12,0,4,0,0,102,785
5,22March,0,0,2,19,3,64,2,3,2,1,2,0,1,0,3,3,3,0,3,0,0,0,4,1,0,6,121,906
6,23March,0,0,1,10,0,124,5,18,9,0,1,0,0,0,2,0,8,0,0,0,0,0,2,4,7,11,219,1125
7,24March,0,6,13,21,1,115,5,5,5,3,0,0,5,0,2,5,3,0,3,0,0,7,7,4,1,10,204,1329
8,25March,0,3,1,17,3,148,12,6,6,1,1,0,12,0,4,4,6,0,3,7,0,7,3,10,1,3,235,1564
9,26March,0,2,5,13,0,148,6,3,11,9,1,0,10,0,3,3,8,8,3,1,0,10,4,13,1,6,255,1819
10,27March,0,8,3,24,9,163,5,6,5,4,3,0,9,10,7,5,5,3,7,2,4,9,2,15,2,7,302,2121
11,28March,0,5,0,9,12,160,9,7,3,3,0,6,9,0,5,2,1,1,5,0,7,9,3,3,0,4,294,2415
12,29March,0,0,6,21,10,94,9,6,2,0,1,0,3,0,5,8,7,1,0,0,0,9,-1,7,3,4,200,2615
13,30March,0,12,5,17,17,158,2,2,14,1,1,4,20,2,7,12,12,0,6,0,3,14,4,3,0,4,295,2910
14,31March,0,3,4,17,5,193,3,4,10,0,0,2,7,2,1,4,8,4,6,0,3,6,1,1,1,7,325,3235
15,1April,0,2,1,20,9,239,7,7,13,10,0,0,2,2,2,3,14,0,1,3,1,3,5,5,2,21,212,3447
16,2April,6,26,4,12,3,174,7,5,33,7,5,1,20,1,1,8,5,3,16,0,1,11,0,6,2,7,402,3849
17,3April,6,9,0,39,1,239,3,1,16,19,1,0,12,0,9,15,13,3,1,2,1,23,3,2,1,20,424,4273
18,4April,0,39,6,19,22,202,4,4,23,2,3,0,12,4,1,29,35,29,2,3,0,-3,3,13,0,10,331,4604
19,5April,0,8,5,59,11,369,16,28,25,4,6,5,3,4,20,19,27,6,7,4,0,8,0,14,1,29,390,4994
20,6April,3,6,1,10,6,207,6,5,33,9,3,2,17,10,11,4,15,4,4,0,0,4,3,13,2,10,370,5364
21,7April,1,3,2,41,5,289,0,3,20,2,3,3,13,1,10,4,15,1,4,0,0,3,4,8,2,26,345,5709
22,8April,3,19,1,31,18,316,26,20,37,6,12,2,13,5,10,19,8,0,7,4,3,11,4,10,4,30,365,6074
23,9April,3,18,16,78,24,283,9,10,42,19,12,6,36,4,17,15,24,18,16,1,8,15,3,29,9,9,500,6574
24,10April,10,41,3,67,21,358,9,15,28,9,10,1,12,4,10,15,19,7,15,4,6,9,4,11,3,17,1515,8089
25,11April,6,12,10,82,37,492,19,30,44,12,17,0,18,7,52,11,40,7,14,8,0,25,6,21,10,9,839,8928
26,12April,6,23,8,50,39,432,23,19,39,8,13,4,13,2,13,4,53,28,11,9,7,19,8,21,4,45,727,9655
27,13April,9,9,7,49,32,412,17,7,66,20,17,4,20,11,28,18,27,24,6,2,10,18,9,24,5,25,992,10647
28,14April,6,56,6,87,24,487,23,20,58,9,15,3,22,8,114,33,36,14,13,7,4,14,11,51,10,33,832,11479
29,15April,0,35,17,29,32,230,6,8,54,6,6,3,36,2,34,10,16,5,8,4,3,19,1,9,5,9,1068,12547
30,16April,10,8,15,34,17,407,7,2,63,9,8,0,39,4,22,14,40,4,6,13,1,13,8,14,9,7,724,13271
31,17April,2,33,2,49,7,445,10,6,79,9,21,1,2,5,-1,39,39,4,10,2,6,9,2,26,13,36,709,13980
32,18April,7,15,7,19,7,287,11,6,54,9,2,2,17,3,32,20,13,13,3,15,2,8,1,11,2,17,778,14758
33,19April,1,2,4,6,9,115,0,0,5,4,7,5,8,3,32,3,9,12,5,0,13,6,4,8,14,2,493,15251
34,20April,1,27,1,24,24,124,15,0,29,6,8,1,6,7,20,4,17,21,3,0,4,14,2,9,23,17,401,15652
35,21April,4,36,22,10,15,311,6,3,24,6,7,1,5,1,17,26,11,29,7,1,1,7,3,9,0,6,388,16040
36,22April,2,40,19,9,9,513,16,0,79,5,10,6,19,0,30,26,18,69,12,19,7,16,0,14,6,37,631,16671
37,23April,2,30,1,7,-3,281,1,5,49,2,2,0,2,11,54,4,10,9,5,3,-1,2,7,12,8,52,936,17607
38,24April,3,38,2,7,9,214,0,1,25,1,1,2,1,11,7,40,35,23,3,2,0,1,6,16,5,10,577,18184
39,25April,1,35,3,15,6,308,3,11,99,3,0,2,15,5,30,29,13,23,3,19,10,18,2,9,6,-11,377,18561
40,26April,1,18,17,1,1,92,-3,0,20,0,7,1,61,6,13,2,12,12,8,6,3,6,1,2,0,1,701,19262
41,27April,2,7,3,10,1,127,19,4,15,3,4,0,14,10,12,12,23,3,28,7,-1,19,-1,13,0,6,386,19648
42,28April,0,0,0,10,2,216,4,0,31,6,2,1,3,1,3,5,10,5,18,2,0,26,0,13,5,25,229,19877
43,29April,5,10,4,8,2,203,0,1,22,8,6,0,13,3,4,2,10,6,2,1,0,53,1,13,12,10,376,20253
44,30April,0,12,1,2,1,107,2,1,11,4,6,0,16,1,8,3,6,4,9,9,2,5,0,13,4,5,359,20612
45,1May,26,17,3,8,2,129,8,1,16,4,4,-1,16,3,6,6,12,6,12,14,-1,5,1,9,2,14,221,20833
46,2May,1,9,5,11,4,155,0,3,26,1,3,3,3,60,6,7,14,14,9,0,2,1,1,31,0,4,343,21176
47,3May,0,12,4,2,1,109,4,3,12,-1,1,0,2,23,6,9,4,6,3,7,1,7,-1,7,-1,3,330,21506
48,4May,5,15,5,15,1,74,6,1,9,1,2,0,6,22,8,2,5,3,22,31,1,15,0,7,0,3,266,21772
49,5May,0,1,27,5,2,106,5,0,13,6,3,0,-17,2,6,2,1,9,7,9,1,5,1,73,6,5,211,21983
50,6May,1,20,18,2,0,45,1,1,10,0,-1,-4,-8,1,4,4,4,2,-1,7,-6,6,0,6,0,3,265,22248
51,7May,3,18,4,6,0,63,1,0,5,6,5,0,4,4,12,5,27,4,4,6,0,3,3,7,4,1,137,22385
52,8May,3,4,0,2,0,120,6,0,7,6,0,0,2,0,6,0,4,0,1,1,0,2,0,1,5,6,156,22541
53,9May,2,1,2,25,3,107,4,0,7,3,1,8,10,3,9,0,2,2,1,12,7,6,0,2,3,3,219,22760
54,10May,0,4,1,2,2,60,8,2,6,4,1,0,6,2,3,15,9,5,7,50,4,1,0,0,0,3,236,22996
